Year,Price
2659,13468.47
2660,13588.6
2661,13634.25
2662,13682.92
2663,13673.32
2664,13761.67
2665,13733.58
2666,13732.86
2667,13752.55
2668,13788.72
2669,13771.9
2670,13729.62
2671,13786.54
2672,13779.12
2673,13830.27
2674,13796.09
2675,13827.32
2676,13868.89
2677,13814.35
2678,13816.82
2679,13778.9
2680,13726.83
2681,13860.12
2682,13859.94
2683,13957.32
2684,13943.7
2685,14015.5
2686,14103.09
2687,14157.82
2688,14187.78
2689,14205.85
2690,14211.38
2691,14333.08
2692,14435.06
2693,14563.96
2694,14524.77
2695,14606.94
2696,14730.66
2697,14703.01
2698,14652.46
2699,14736.88
2700,14788.03
2701,14892.69
2702,14857.0
2703,14952.45
2704,14929.23
2705,14898.46
2706,14867.86
2707,14967.38
2708,15037.06
2709,15078.38
2710,15086.89
2711,15199.13
2712,15214.47
2713,15314.69
2714,15339.47
2715,15351.86
2716,15381.45
2717,15378.82
2718,15465.49
2719,15503.24
2720,15486.93
2721,15604.14
2722,15618.27
2723,15664.38
2724,15783.13
2725,15845.47
2726,15806.4
2727,15931.97
2728,15995.16
2729,15999.84
2730,15965.45
2731,16062.05
2732,16123.92
2733,16168.51
2734,16285.24
2735,16380.96
2736,16349.34
2737,16349.79
2738,16337.64
2739,16424.62
2740,16369.58
2741,16421.86
2742,16512.7
2743,16626.45
2744,16633.32
2745,16736.07
2746,16696.75
2747,16804.64
2748,16768.79
2749,16786.94
2750,16885.15
2751,16853.94
2752,16838.64
2753,16921.99
2754,17004.94
2755,17072.17
2756,17150.01
2757,17197.66
2758,17187.17
2759,17195.51
2760,17171.08
2761,17292.07
2762,17348.1
2763,17367.67
2764,17399.52
2765,17528.47
2766,17498.69
2767,17555.54
2768,17596.37
2769,17658.36
2770,17601.73
2771,17715.95
2772,17842.23
2773,17895.16
2774,17974.44
2775,18098.94
2776,18180.43
2777,18151.04
2778,18206.45
2779,18267.99
2780,18293.07
2781,18380.66
2782,18507.88
2783,18633.39
2784,18664.01
2785,18627.16
2786,18764.68
2787,18873.06
2788,18838.64
2789,18963.51
2790,19078.24
2791,19122.8
2792,19181.91
2793,19202.61
2794,19154.51
2795,19162.55
2796,19264.17
2797,19206.2
2798,19214.05
2799,19234.88
2800,19283.61
2801,19408.88
2802,19419.5
2803,19430.29
2804,19519.24
2805,19551.19
2806,19537.66
2807,19569.75
2808,19539.57
2809,19516.54
2810,19557.97
2811,19583.55
2812,19708.37
2813,19722.75
2814,19780.82
2815,19849.27
2816,19793.94
2817,19868.75
2818,19846.51
2819,19980.92
2820,19952.9
2821,19978.13
2822,19937.55
2823,20079.32
2824,20122.21
2825,20183.79
2826,20139.75
2827,20232.34
2828,20216.98
2829,20339.29
2830,20323.06
2831,20304.0
2832,20254.16
2833,20291.48
2834,20347.39
2835,20303.54
2836,20401.69
2837,20435.45
2838,20483.48
2839,20514.83
2840,20538.23
2841,20593.46
2842,20567.86
2843,20547.64
2844,20663.45
2845,20796.17
2846,20814.39
2847,20812.13
2848,20884.58
2849,20910.03
2850,20858.86
2851,20833.89
2852,20920.93
2853,20996.62
2854,20945.99
2855,20934.38
2856,20924.65
2857,21003.13
2858,20951.22
2859,20916.24
2860,21020.47
2861,21000.48
2862,21075.38
2863,21067.42
2864,21031.76
2865,21024.89
2866,21113.89
2867,21229.63
2868,21340.33
2869,21364.46
2870,21442.83
2871,21428.63
2872,21432.11
2873,21556.27
2874,21503.82
2875,21465.93
2876,21452.55
2877,21402.96
2878,21384.4
2879,21446.21
2880,21475.74
2881,21599.57
2882,21708.41
2883,21722.18
2884,21719.51
2885,21740.95
2886,21804.56
2887,21803.77
2888,21874.25
2889,21901.83
2890,21957.99
2891,21991.02
2892,21995.76
2893,22131.35
2894,22230.02
2895,22204.05
2896,22323.79
2897,22367.38
2898,22492.44
2899,22598.61
2900,22629.9
2901,22580.69
2902,22580.78
2903,22635.51
2904,22708.65
2905,22706.73
2906,22681.15
2907,22794.74
2908,22938.27
2909,22990.11
2910,22971.19
2911,22972.45
2912,22922.98
2913,23052.74
2914,23023.24
2915,23085.54
2916,23087.4
2917,23145.34
2918,23222.77
2919,23335.92
2920,23324.46
2921,23273.96
2922,23248.68
2923,23376.09
2924,23498.32
2925,23565.3
2926,23632.95
2927,23713.56
2928,23696.28
2929,23826.87
2930,23858.37
2931,23882.8
2932,23934.43
2933,23891.72
2934,23872.93
2935,23968.54
2936,23933.15
2937,24001.88
2938,23999.1
2939,24025.16
2940,24031.14
2941,24050.58
2942,24142.74
2943,24150.56
2944,24212.29
2945,24256.0
2946,24337.29
2947,24473.25
2948,24568.42
2949,24560.11
2950,24515.09
2951,24516.35
2952,24584.21
2953,24543.4
2954,24591.62
2955,24659.99
2956,24675.89
2957,24779.17
2958,24749.64
2959,24713.87
2960,24808.75
2961,24857.15
2962,24944.18
2963,24980.55
2964,24979.28
2965,25092.6
2966,25202.03
2967,25290.57
2968,25294.65
2969,25362.4
2970,25384.34
2971,25352.46
2972,25485.77
2973,25463.04
2974,25603.03
